"Day","Shift","Run","AssayRow","AssayCol","A450","A650"
10,"Evening",10,"3","9",0.472,0.039
10,"Evening",10,"4","9",0.523,0.038
10,"Evening",10,"5","9",0.526,0.04
10,"Evening",10,"6","9",0.452,0.036
10,"Evening",10,"7","9",0.456,0.035
10,"Evening",10,"8","9",0.448,0.037
10,"Evening",10,"1","10",0.627,0.04
10,"Evening",10,"2","10",0.53,0.037
10,"Evening",10,"3","10",0.488,0.039
10,"Evening",10,"4","10",0.425,0.037
10,"Evening",10,"5","10",0.419,0.038
10,"Evening",10,"6","10",0.444,0.036
10,"Evening",10,"7","10",0.471,0.036
10,"Evening",10,"8","10",0.503,0.039
10,"Evening",10,"1","11",0.536,0.04
10,"Evening",10,"2","11",0.49,0.035
10,"Evening",10,"3","11",0.479,0.038
10,"Evening",10,"4","11",0.502,0.039
10,"Evening",10,"5","11",0.453,0.038
10,"Evening",10,"6","11",0.485,0.037
10,"Evening",10,"7","11",0.528,0.036
10,"Evening",10,"8","11",0.5,0.038
10,"Evening",10,"1","12",0.591,0.04
10,"Evening",10,"2","12",0.541,0.038
10,"Evening",10,"3","12",0.521,0.039
10,"Evening",10,"4","12",0.52,0.039
10,"Evening",10,"5","12",0.48,0.041
10,"Evening",10,"6","12",0.521,0.038
10,"Evening",10,"7","12",0.531,0.035
10,"Evening",10,"8","12",0.484,0.038
10,"Evening",11,"1","1",0.56,0.039
10,"Evening",11,"2","1",0.574,0.036
10,"Evening",11,"3","1",0.565,0.038
10,"Evening",11,"4","1",0.585,0.038
10,"Evening",11,"5","1",0.612,0.04
10,"Evening",11,"6","1",0.592,0.037
10,"Evening",11,"7","1",0.612,0.038
10,"Evening",11,"8","1",0.64,0.038
10,"Evening",11,"1","2",0.569,0.038
10,"Evening",11,"2","2",0.588,0.037
10,"Evening",11,"3","2",0.599,0.039
10,"Evening",11,"4","2",0.577,0.04
10,"Evening",11,"5","2",0.615,0.038
10,"Evening",11,"6","2",0.623,0.037
10,"Evening",11,"7","2",0.672,0.038
10,"Evening",11,"8","2",0.566,0.039
10,"Evening",11,"1","3",0.524,0.038
10,"Evening",11,"2","3",0.608,0.039
10,"Evening",11,"3","3",0.579,0.036
10,"Evening",11,"4","3",0.713,0.039
10,"Evening",11,"5","3",0.642,0.038
10,"Evening",11,"6","3",0.64,0.038
10,"Evening",11,"7","3",0.568,0.037
10,"Evening",11,"8","3",0.563,0.039
10,"Evening",11,"1","4",0.584,0.038
10,"Evening",11,"2","4",0.585,0.037
10,"Evening",11,"3","4",0.639,0.039
10,"Evening",11,"4","4",0.618,0.038
10,"Evening",11,"5","4",0.666,0.039
10,"Evening",11,"6","4",0.551,0.038
10,"Evening",11,"7","4",0.601,0.047
10,"Evening",11,"8","4",0.56,0.04
10,"Evening",11,"1","5",0.598,0.038
10,"Evening",11,"2","5",0.591,0.037
10,"Evening",11,"3","5",0.687,0.039
10,"Evening",11,"4","5",0.644,0.039
10,"Evening",11,"5","5",0.624,0.043
10,"Evening",11,"6","5",0.71,0.093
10,"Evening",11,"7","5",0.562,0.036
10,"Evening",11,"8","5",0.652,0.039
10,"Evening",11,"1","6",0.669,0.039
10,"Evening",11,"2","6",0.614,0.037
10,"Evening",11,"3","6",0.644,0.038
10,"Evening",11,"4","6",0.612,0.039
10,"Evening",11,"5","6",0.609,0.041
10,"Evening",11,"6","6",0.651,0.043
10,"Evening",11,"7","6",0.617,0.038
10,"Evening",11,"8","6",0.589,0.039
10,"Evening",11,"1","7",0.693,0.04
10,"Evening",11,"2","7",0.653,0.038
10,"Evening",11,"3","7",0.607,0.04
10,"Evening",11,"4","7",0.661,0.041
10,"Evening",11,"5","7",0.633,0.042
10,"Evening",11,"6","7",0.631,0.047
10,"Evening",11,"7","7",0.574,0.038
10,"Evening",11,"8","7",0.651,0.04
10,"Evening",11,"1","8",0.696,0.043
10,"Evening",11,"2","8",0.609,0.04
10,"Evening",11,"3","8",0.643,0.041
10,"Evening",11,"4","8",0.623,0.04
10,"Evening",11,"5","8",0.584,0.042
10,"Evening",11,"6","8",0.648,0.04
10,"Evening",11,"7","8",0.634,0.037
10,"Evening",11,"8","8",0.582,0.038
10,"Evening",11,"1","9",0.623,0.04
10,"Evening",11,"2","9",0.633,0.04
10,"Evening",11,"3","9",0.654,0.043
10,"Evening",11,"4","9",0.606,0.04
10,"Evening",11,"5","9",0.635,0.042
10,"Evening",11,"6","9",0.594,0.039
10,"Evening",11,"7","9",0.582,0.037
10,"Evening",11,"8","9",0.594,0.039
10,"Evening",11,"1","10",0.598,0.04
10,"Evening",11,"2","10",0.557,0.038
10,"Evening",11,"3","10",0.553,0.04
10,"Evening",11,"4","10",0.601,0.04
10,"Evening",11,"5","10",0.576,0.038
10,"Evening",11,"6","10",0.586,0.041
10,"Evening",11,"7","10",0.576,0.038
10,"Evening",11,"8","10",0.591,0.038
10,"Evening",11,"1","11",0.65,0.041
10,"Evening",11,"2","11",0.599,0.036
10,"Evening",11,"3","11",0.568,0.041
10,"Evening",11,"4","11",0.648,0.04
10,"Evening",11,"5","11",0.676,0.044
10,"Evening",11,"6","11",0.594,0.039
10,"Evening",11,"7","11",0.511,0.036
10,"Evening",11,"8","11",0.621,0.038
10,"Evening",11,"1","12",0.626,0.041
10,"Evening",11,"2","12",0.621,0.038
10,"Evening",11,"3","12",0.667,0.042
10,"Evening",11,"4","12",0.661,0.04
10,"Evening",11,"5","12",0.675,0.046
10,"Evening",11,"6","12",0.739,0.041
10,"Evening",11,"7","12",0.688,0.039
10,"Evening",11,"8","12",0.619,0.039
10,"Evening",12,"1","1",0.547,0.038
10,"Evening",12,"2","1",0.5,0.036
10,"Evening",12,"3","1",0.531,0.038
10,"Evening",12,"4","1",0.552,0.039
10,"Evening",12,"5","1",0.607,0.04
10,"Evening",12,"6","1",0.597,0.037
10,"Evening",12,"7","1",0.654,0.038
10,"Evening",12,"8","1",0.646,0.039
10,"Evening",12,"1","2",0.556,0.039
10,"Evening",12,"2","2",0.525,0.036
10,"Evening",12,"3","2",0.55,0.038
10,"Evening",12,"4","2",0.569,0.039
10,"Evening",12,"5","2",0.561,0.039
10,"Evening",12,"6","2",0.566,0.037
10,"Evening",12,"7","2",0.617,0.038
10,"Evening",12,"8","2",0.632,0.038
10,"Evening",12,"1","3",0.519,0.038
10,"Evening",12,"2","3",0.513,0.035
10,"Evening",12,"3","3",0.538,0.038
10,"Evening",12,"4","3",0.514,0.038
10,"Evening",12,"5","3",0.567,0.039
10,"Evening",12,"6","3",0.565,0.036
10,"Evening",12,"7","3",0.615,0.038
10,"Evening",12,"8","3",0.606,0.038
10,"Evening",12,"1","4",0.538,0.038
10,"Evening",12,"2","4",0.532,0.045
10,"Evening",12,"3","4",0.575,0.04
10,"Evening",12,"4","4",0.563,0.038
10,"Evening",12,"5","4",0.556,0.039
10,"Evening",12,"6","4",0.589,0.038
10,"Evening",12,"7","4",0.596,0.039
10,"Evening",12,"8","4",0.599,0.037
10,"Evening",12,"1","5",0.539,0.038
10,"Evening",12,"2","5",0.521,0.037
10,"Evening",12,"3","5",0.545,0.039
10,"Evening",12,"4","5",0.543,0.039
10,"Evening",12,"5","5",0.576,0.04
10,"Evening",12,"6","5",0.56,0.036
10,"Evening",12,"7","5",0.578,0.038
10,"Evening",12,"8","5",0.583,0.037
10,"Evening",12,"1","6",0.558,0.038
10,"Evening",12,"2","6",0.53,0.037
10,"Evening",12,"3","6",0.558,0.039
10,"Evening",12,"4","6",0.558,0.039
10,"Evening",12,"5","6",0.577,0.039
10,"Evening",12,"6","6",0.634,0.039
10,"Evening",12,"7","6",0.607,0.039
10,"Evening",12,"8","6",0.596,0.039
10,"Evening",12,"1","7",0.555,0.039
10,"Evening",12,"2","7",0.561,0.037
10,"Evening",12,"3","7",0.566,0.039
10,"Evening",12,"4","7",0.546,0.04
10,"Evening",12,"5","7",0.568,0.04
10,"Evening",12,"6","7",0.565,0.039
10,"Evening",12,"7","7",0.564,0.038
10,"Evening",12,"8","7",0.612,0.039
10,"Evening",12,"1","8",0.589,0.038
10,"Evening",12,"2","8",0.572,0.037
10,"Evening",12,"3","8",0.596,0.04
10,"Evening",12,"4","8",0.569,0.039
10,"Evening",12,"5","8",0.539,0.04
10,"Evening",12,"6","8",0.572,0.038
10,"Evening",12,"7","8",0.57,0.036
10,"Evening",12,"8","8",0.561,0.039
10,"Evening",12,"1","9",0.571,0.042
10,"Evening",12,"2","9",0.567,0.039
10,"Evening",12,"3","9",0.579,0.04
10,"Evening",12,"4","9",0.555,0.039
10,"Evening",12,"5","9",0.577,0.037
10,"Evening",12,"6","9",0.584,0.038
10,"Evening",12,"7","9",0.521,0.037
10,"Evening",12,"8","9",0.557,0.037
10,"Evening",12,"1","10",0.572,0.039
10,"Evening",12,"2","10",0.504,0.038
10,"Evening",12,"3","10",0.554,0.04
10,"Evening",12,"4","10",0.54,0.04
10,"Evening",12,"5","10",0.489,0.039
10,"Evening",12,"6","10",0.552,0.04
10,"Evening",12,"7","10",0.655,0.039
10,"Evening",12,"8","10",0.55,0.04
10,"Evening",12,"1","11",0.538,0.041
10,"Evening",12,"2","11",0.577,0.036
10,"Evening",12,"3","11",0.605,0.04
10,"Evening",12,"4","11",0.52,0.039
10,"Evening",12,"5","11",0.534,0.041
10,"Evening",12,"6","11",0.588,0.04
10,"Evening",12,"7","11",0.531,0.036
10,"Evening",12,"8","11",0.546,0.039
10,"Evening",12,"1","12",0.525,0.041
10,"Evening",12,"2","12",0.547,0.037
10,"Evening",12,"3","12",0.551,0.04
10,"Evening",12,"4","12",0.584,0.04
10,"Evening",12,"5","12",0.558,0.041
10,"Evening",12,"6","12",0.568,0.038
10,"Evening",12,"7","12",0.574,0.037
10,"Evening",12,"8","12",0.46,0.039
10,"Evening",13,"1","1",0.534,0.039
10,"Evening",13,"2","1",0.504,0.037
10,"Evening",13,"3","1",0.545,0.039
10,"Evening",13,"4","1",0.546,0.039
10,"Evening",13,"5","1",0.517,0.038
10,"Evening",13,"6","1",0.527,0.037
10,"Evening",13,"7","1",0.571,0.038
10,"Evening",13,"8","1",0.613,0.039
10,"Evening",13,"1","2",0.46,0.038
10,"Evening",13,"2","2",0.513,0.036
10,"Evening",13,"3","2",0.519,0.038
10,"Evening",13,"4","2",0.458,0.038
10,"Evening",13,"5","2",0.533,0.039
10,"Evening",13,"6","2",0.527,0.035
10,"Evening",13,"7","2",0.547,0.036
10,"Evening",13,"8","2",0.503,0.038
10,"Evening",13,"1","3",0.563,0.039
10,"Evening",13,"2","3",0.509,0.037
10,"Evening",13,"3","3",0.557,0.038
10,"Evening",13,"4","3",0.552,0.037
10,"Evening",13,"5","3",0.525,0.038
10,"Evening",13,"6","3",0.515,0.036
10,"Evening",13,"7","3",0.505,0.037
10,"Evening",13,"8","3",0.594,0.038
10,"Evening",13,"1","4",0.508,0.039
10,"Evening",13,"2","4",0.511,0.037
10,"Evening",13,"3","4",0.517,0.038
10,"Evening",13,"4","4",0.454,0.038
10,"Evening",13,"5","4",0.575,0.04
10,"Evening",13,"6","4",0.515,0.034
10,"Evening",13,"7","4",0.587,0.038
10,"Evening",13,"8","4",0.509,0.037
10,"Evening",13,"1","5",0.536,0.039
10,"Evening",13,"2","5",0.475,0.036
10,"Evening",13,"3","5",0.57,0.039
10,"Evening",13,"4","5",0.54,0.038
10,"Evening",13,"5","5",0.524,0.038
10,"Evening",13,"6","5",0.495,0.035
10,"Evening",13,"7","5",0.514,0.035
10,"Evening",13,"8","5",0.536,0.037
10,"Evening",13,"1","6",0.466,0.037
10,"Evening",13,"2","6",0.473,0.035
10,"Evening",13,"3","6",0.511,0.038
10,"Evening",13,"4","6",0.473,0.039
10,"Evening",13,"5","6",0.52,0.038
10,"Evening",13,"6","6",0.55,0.037
10,"Evening",13,"7","6",0.563,0.038
10,"Evening",13,"8","6",0.489,0.038
10,"Evening",13,"1","7",0.508,0.039
10,"Evening",13,"2","7",0.539,0.037
10,"Evening",13,"3","7",0.553,0.039
10,"Evening",13,"4","7",0.545,0.039
10,"Evening",13,"5","7",0.536,0.039
10,"Evening",13,"6","7",0.55,0.039
10,"Evening",13,"7","7",0.538,0.037
10,"Evening",13,"8","7",0.555,0.038
10,"Evening",13,"1","8",0.553,0.04
10,"Evening",13,"2","8",0.505,0.036
10,"Evening",13,"3","8",0.592,0.039
10,"Evening",13,"4","8",0.469,0.037
10,"Evening",13,"5","8",0.538,0.039
10,"Evening",13,"6","8",0.54,0.037
10,"Evening",13,"7","8",0.504,0.036
10,"Evening",13,"8","8",0.494,0.038
10,"Evening",13,"1","9",0.535,0.04
10,"Evening",13,"2","9",0.454,0.036
10,"Evening",13,"3","9",0.516,0.04
10,"Evening",13,"4","9",0.495,0.039
10,"Evening",13,"5","9",0.527,0.04
10,"Evening",13,"6","9",0.51,0.038
10,"Evening",13,"7","9",0.484,0.036
10,"Evening",13,"8","9",0.507,0.038
10,"Evening",13,"1","10",0.514,0.039
10,"Evening",13,"2","10",0.466,0.038
10,"Evening",13,"3","10",0.525,0.039
10,"Evening",13,"4","10",0.454,0.038
10,"Evening",13,"5","10",0.511,0.038
10,"Evening",13,"6","10",0.548,0.038
10,"Evening",13,"7","10",0.504,0.037
10,"Evening",13,"8","10",0.492,0.038
10,"Evening",13,"1","11",0.486,0.039
10,"Evening",13,"2","11",0.49,0.036
10,"Evening",13,"3","11",0.476,0.039
10,"Evening",13,"4","11",0.478,0.038
10,"Evening",13,"5","11",0.456,0.039
10,"Evening",13,"6","11",0.531,0.038
10,"Evening",13,"7","11",0.471,0.036
10,"Evening",13,"8","11",0.537,0.039
10,"Evening",13,"1","12",0.494,0.039
10,"Evening",13,"2","12",0.511,0.037
10,"Evening",13,"3","12",0.531,0.039
10,"Evening",13,"4","12",0.521,0.039
10,"Evening",13,"5","12",0.547,0.04
10,"Evening",13,"6","12",0.63,0.039
10,"Evening",13,"7","12",0.595,0.037
10,"Evening",13,"8","12",0.531,0.039
10,"Evening",14,"1","1",0.475,0.036
10,"Evening",14,"2","1",0.476,0.035
10,"Evening",14,"3","1",0.481,0.038
10,"Evening",14,"4","1",0.503,0.038
10,"Evening",14,"5","1",0.523,0.038
10,"Evening",14,"6","1",0.536,0.036
10,"Evening",14,"7","1",0.564,0.037
10,"Evening",14,"8","1",0.566,0.038
10,"Evening",14,"1","2",0.481,0.038
10,"Evening",14,"2","2",0.46,0.035
10,"Evening",14,"3","2",0.501,0.037
10,"Evening",14,"4","2",0.551,0.039
10,"Evening",14,"5","2",0.515,0.037
10,"Evening",14,"6","2",0.516,0.035
10,"Evening",14,"7","2",0.471,0.036
10,"Evening",14,"8","2",0.535,0.037
10,"Evening",14,"1","3",0.392,0.037
10,"Evening",14,"2","3",0.499,0.035
10,"Evening",14,"3","3",0.534,0.037
10,"Evening",14,"4","3",0.515,0.039
10,"Evening",14,"5","3",0.55,0.038
10,"Evening",14,"6","3",0.552,0.035
10,"Evening",14,"7","3",0.521,0.037
10,"Evening",14,"8","3",0.661,0.04
10,"Evening",14,"1","4",0.422,0.037
10,"Evening",14,"2","4",0.455,0.037
10,"Evening",14,"3","4",0.494,0.036
10,"Evening",14,"4","4",0.534,0.037
10,"Evening",14,"5","4",0.503,0.038
10,"Evening",14,"6","4",0.515,0.037
10,"Evening",14,"7","4",0.521,0.038
10,"Evening",14,"8","4",0.571,0.039
10,"Evening",14,"1","5",0.435,0.038
10,"Evening",14,"2","5",0.553,0.036
10,"Evening",14,"3","5",0.576,0.039
10,"Evening",14,"4","5",0.545,0.039
10,"Evening",14,"5","5",0.515,0.036
10,"Evening",14,"6","5",0.522,0.036
10,"Evening",14,"7","5",0.54,0.036
10,"Evening",14,"8","5",0.609,0.039
10,"Evening",14,"1","6",0.469,0.037
10,"Evening",14,"2","6",0.521,0.037
10,"Evening",14,"3","6",0.549,0.038
10,"Evening",14,"4","6",0.499,0.037
10,"Evening",14,"5","6",0.509,0.037
10,"Evening",14,"6","6",0.584,0.039
10,"Evening",14,"7","6",0.493,0.036
10,"Evening",14,"8","6",0.559,0.039
10,"Evening",14,"1","7",0.441,0.038
10,"Evening",14,"2","7",0.537,0.035
10,"Evening",14,"3","7",0.559,0.039
10,"Evening",14,"4","7",0.515,0.038
10,"Evening",14,"5","7",0.52,0.039
10,"Evening",14,"6","7",0.505,0.036
10,"Evening",14,"7","7",0.526,0.037
10,"Evening",14,"8","7",0.616,0.039
10,"Evening",14,"1","8",0.475,0.039
10,"Evening",14,"2","8",0.49,0.037
10,"Evening",14,"3","8",0.542,0.039
10,"Evening",14,"4","8",0.477,0.037
10,"Evening",14,"5","8",0.534,0.039
10,"Evening",14,"6","8",0.531,0.038
10,"Evening",14,"7","8",0.522,0.037
10,"Evening",14,"8","8",0.563,0.038
10,"Evening",14,"1","9",0.501,0.04
10,"Evening",14,"2","9",0.487,0.035
10,"Evening",14,"3","9",0.507,0.039
10,"Evening",14,"4","9",0.511,0.035
10,"Evening",14,"5","9",0.484,0.038
10,"Evening",14,"6","9",0.489,0.037
10,"Evening",14,"7","9",0.481,0.036
10,"Evening",14,"8","9",0.565,0.039
10,"Evening",14,"1","10",0.476,0.04
10,"Evening",14,"2","10",0.463,0.037
10,"Evening",14,"3","10",0.508,0.039
10,"Evening",14,"4","10",0.448,0.039
10,"Evening",14,"5","10",0.53,0.039
10,"Evening",14,"6","10",0.497,0.038
10,"Evening",14,"7","10",0.589,0.038
10,"Evening",14,"8","10",0.602,0.04
10,"Evening",14,"1","11",0.535,0.04
10,"Evening",14,"2","11",0.479,0.036
10,"Evening",14,"3","11",0.48,0.04
10,"Evening",14,"4","11",0.52,0.04
10,"Evening",14,"5","11",0.516,0.04
10,"Evening",14,"6","11",0.529,0.038
10,"Evening",14,"7","11",0.535,0.038
10,"Evening",14,"8","11",0.577,0.039
10,"Evening",14,"1","12",0.442,0.04
10,"Evening",14,"2","12",0.479,0.036
10,"Evening",14,"3","12",0.514,0.039
10,"Evening",14,"4","12",0.442,0.039
10,"Evening",14,"5","12",0.556,0.041
10,"Evening",14,"6","12",0.529,0.038
10,"Evening",14,"7","12",0.624,0.038
10,"Evening",14,"8","12",0.569,0.038
10,"Evening",15,"1","1",0.575,0.038
10,"Evening",15,"2","1",0.549,0.037
10,"Evening",15,"3","1",0.515,0.037
10,"Evening",15,"4","1",0.511,0.039
10,"Evening",15,"5","1",0.505,0.039
10,"Evening",15,"6","1",0.533,0.037
10,"Evening",15,"7","1",0.553,0.049
10,"Evening",15,"8","1",0.596,0.04
10,"Evening",15,"1","2",0.535,0.037
10,"Evening",15,"2","2",0.496,0.036
10,"Evening",15,"3","2",0.461,0.038
10,"Evening",15,"4","2",0.501,0.037
10,"Evening",15,"5","2",0.497,0.037
10,"Evening",15,"6","2",0.516,0.035
10,"Evening",15,"7","2",0.535,0.035
10,"Evening",15,"8","2",0.526,0.039
10,"Evening",15,"1","3",0.564,0.042
10,"Evening",15,"2","3",0.581,0.038
10,"Evening",15,"3","3",0.601,0.039
10,"Evening",15,"4","3",0.617,0.039
10,"Evening",15,"5","3",0.58,0.039
10,"Evening",15,"6","3",0.568,0.037
10,"Evening",15,"7","3",0.53,0.041
10,"Evening",15,"8","3",0.511,0.038
10,"Evening",15,"1","4",0.592,0.04
10,"Evening",15,"2","4",0.549,0.038
10,"Evening",15,"3","4",0.566,0.038
10,"Evening",15,"4","4",0.54,0.04
10,"Evening",15,"5","4",0.508,0.039
10,"Evening",15,"6","4",0.583,0.038
10,"Evening",15,"7","4",0.554,0.047
10,"Evening",15,"8","4",0.565,0.051
10,"Evening",15,"1","5",0.611,0.041
10,"Evening",15,"2","5",0.631,0.04
10,"Evening",15,"3","5",0.629,0.041
10,"Evening",15,"4","5",0.569,0.039
10,"Evening",15,"5","5",0.594,0.039
10,"Evening",15,"6","5",0.619,0.039
10,"Evening",15,"7","5",0.586,0.038
10,"Evening",15,"8","5",0.608,0.039
10,"Evening",15,"1","6",0.58,0.04
10,"Evening",15,"2","6",0.638,0.039
10,"Evening",15,"3","6",0.617,0.042
10,"Evening",15,"4","6",0.549,0.04
10,"Evening",15,"5","6",0.584,0.04
10,"Evening",15,"6","6",0.582,0.039
10,"Evening",15,"7","6",0.608,0.039
10,"Evening",15,"8","6",0.57,0.04
10,"Evening",15,"1","7",0.663,0.055
10,"Evening",15,"2","7",0.602,0.04
10,"Evening",15,"3","7",0.582,0.04
10,"Evening",15,"4","7",0.609,0.042
10,"Evening",15,"5","7",0.608,0.04
10,"Evening",15,"6","7",0.644,0.041
10,"Evening",15,"7","7",0.619,0.038
10,"Evening",15,"8","7",0.584,0.038
10,"Evening",15,"1","8",0.656,0.042
10,"Evening",15,"2","8",0.61,0.04
10,"Evening",15,"3","8",0.631,0.044
10,"Evening",15,"4","8",0.605,0.041
10,"Evening",15,"5","8",0.567,0.042
10,"Evening",15,"6","8",0.623,0.04
10,"Evening",15,"7","8",0.637,0.038
10,"Evening",15,"8","8",0.583,0.04
10,"Evening",15,"1","9",0.552,0.081
10,"Evening",15,"2","9",0.473,0.039
10,"Evening",15,"3","9",0.508,0.039
10,"Evening",15,"4","9",0.526,0.038
10,"Evening",15,"5","9",0.539,0.041
10,"Evening",15,"6","9",0.514,0.038
10,"Evening",15,"7","9",0.506,0.038
10,"Evening",15,"8","9",0.468,0.037
10,"Evening",15,"1","10",0.453,0.039
10,"Evening",15,"2","10",0.469,0.038
10,"Evening",15,"3","10",0.492,0.038
10,"Evening",15,"4","10",0.485,0.039
10,"Evening",15,"5","10",0.495,0.04
10,"Evening",15,"6","10",0.473,0.039
10,"Evening",15,"7","10",0.456,0.038
10,"Evening",15,"8","10",0.484,0.041
10,"Evening",15,"1","11",0.58,0.045
10,"Evening",15,"2","11",0.516,0.038
10,"Evening",15,"3","11",0.477,0.04
10,"Evening",15,"4","11",0.523,0.039
10,"Evening",15,"5","11",0.541,0.041
10,"Evening",15,"6","11",0.449,0.039
10,"Evening",15,"7","11",0.566,0.039
10,"Evening",15,"8","11",0.571,0.044
10,"Evening",15,"1","12",0.575,0.043
10,"Evening",15,"2","12",0.569,0.039
10,"Evening",15,"3","12",0.599,0.041
10,"Evening",15,"4","12",0.524,0.041
10,"Evening",15,"5","12",0.492,0.041
10,"Evening",15,"6","12",0.56,0.037
10,"Evening",15,"7","12",0.531,0.039
10,"Evening",15,"8","12",0.663,0.041
11,"Day",1,"1","1",0.609,0.041
11,"Day",1,"2","1",0.526,0.038
11,"Day",1,"3","1",0.613,0.04
11,"Day",1,"4","1",0.605,0.04
11,"Day",1,"5","1",0.61,0.041
11,"Day",1,"6","1",0.576,0.038
11,"Day",1,"7","1",0.644,0.039
11,"Day",1,"8","1",0.652,0.04
11,"Day",1,"1","2",0.552,0.041
11,"Day",1,"2","2",0.61,0.038
11,"Day",1,"3","2",0.574,0.037
11,"Day",1,"4","2",0.554,0.041
11,"Day",1,"5","2",0.612,0.041
11,"Day",1,"6","2",0.591,0.037
11,"Day",1,"7","2",0.604,0.037
11,"Day",1,"8","2",0.57,0.037
11,"Day",1,"1","3",0.623,0.041
11,"Day",1,"2","3",0.589,0.037
11,"Day",1,"3","3",0.645,0.04
11,"Day",1,"4","3",0.61,0.04
11,"Day",1,"5","3",0.62,0.04
11,"Day",1,"6","3",0.597,0.04
11,"Day",1,"7","3",0.582,0.039
11,"Day",1,"8","3",0.666,0.041
11,"Day",1,"1","4",0.652,0.042
11,"Day",1,"2","4",0.589,0.038
11,"Day",1,"3","4",0.697,0.041
11,"Day",1,"4","4",0.576,0.041
11,"Day",1,"5","4",0.655,0.041
11,"Day",1,"6","4",0.61,0.039
11,"Day",1,"7","4",0.677,0.04
11,"Day",1,"8","4",0.644,0.041
11,"Day",1,"1","5",0.655,0.041
11,"Day",1,"2","5",0.611,0.038
11,"Day",1,"3","5",0.661,0.041
11,"Day",1,"4","5",0.672,0.04
11,"Day",1,"5","5",0.604,0.04
11,"Day",1,"6","5",0.556,0.036
11,"Day",1,"7","5",0.597,0.039
11,"Day",1,"8","5",0.589,0.039
11,"Day",1,"1","6",0.637,0.041
11,"Day",1,"2","6",0.594,0.039
11,"Day",1,"3","6",0.679,0.041
11,"Day",1,"4","6",0.558,0.042
11,"Day",1,"5","6",0.609,0.038
11,"Day",1,"6","6",0.659,0.04
11,"Day",1,"7","6",0.675,0.039
11,"Day",1,"8","6",0.646,0.04
11,"Day",1,"1","7",0.612,0.041
11,"Day",1,"2","7",0.691,0.038
11,"Day",1,"3","7",0.678,0.042
11,"Day",1,"4","7",0.651,0.041
11,"Day",1,"5","7",0.586,0.041
11,"Day",1,"6","7",0.628,0.04
11,"Day",1,"7","7",0.626,0.039
11,"Day",1,"8","7",0.702,0.041
11,"Day",1,"1","8",0.604,0.041
11,"Day",1,"2","8",0.686,0.042
11,"Day",1,"3","8",0.652,0.042
11,"Day",1,"4","8",0.58,0.04
11,"Day",1,"5","8",0.698,0.042
11,"Day",1,"6","8",0.666,0.041
11,"Day",1,"7","8",0.623,0.038
11,"Day",1,"8","8",0.606,0.04
11,"Day",1,"1","9",0.61,0.043
11,"Day",1,"2","9",0.644,0.04
11,"Day",1,"3","9",0.691,0.044
11,"Day",1,"4","9",0.593,0.038
11,"Day",1,"5","9",0.569,0.039
11,"Day",1,"6","9",0.632,0.04
11,"Day",1,"7","9",0.624,0.039
11,"Day",1,"8","9",0.647,0.04
11,"Day",1,"1","10",0.542,0.04
11,"Day",1,"2","10",0.579,0.041
11,"Day",1,"3","10",0.639,0.042
11,"Day",1,"4","10",0.584,0.041
11,"Day",1,"5","10",0.622,0.042
11,"Day",1,"6","10",0.657,0.042
11,"Day",1,"7","10",0.64,0.039
11,"Day",1,"8","10",0.659,0.042
11,"Day",1,"1","11",0.577,0.042
11,"Day",1,"2","11",0.616,0.038
11,"Day",1,"3","11",0.626,0.043
11,"Day",1,"4","11",0.596,0.04
11,"Day",1,"5","11",0.59,0.042
11,"Day",1,"6","11",0.649,0.04
11,"Day",1,"7","11",0.643,0.039
11,"Day",1,"8","11",0.706,0.042
11,"Day",1,"1","12",0.489,0.04
11,"Day",1,"2","12",0.644,0.04
11,"Day",1,"3","12",0.639,0.042
11,"Day",1,"4","12",0.657,0.041
11,"Day",1,"5","12",0.646,0.042
11,"Day",1,"6","12",0.657,0.04
11,"Day",1,"7","12",0.627,0.038
11,"Day",1,"8","12",0.428,0.037
11,"Day",2,"1","1",0.617,0.04
11,"Day",2,"2","1",0.573,0.037
11,"Day",2,"3","1",0.599,0.039
11,"Day",2,"4","1",0.581,0.04
11,"Day",2,"5","1",0.625,0.04
11,"Day",2,"6","1",0.648,0.039
11,"Day",2,"7","1",0.7,0.039
11,"Day",2,"8","1",0.72,0.041
11,"Day",2,"1","2",0.565,0.04
11,"Day",2,"2","2",0.632,0.039
11,"Day",2,"3","2",0.624,0.039
11,"Day",2,"4","2",0.621,0.041
11,"Day",2,"5","2",0.629,0.041
11,"Day",2,"6","2",0.611,0.039
11,"Day",2,"7","2",0.635,0.039
11,"Day",2,"8","2",0.652,0.04
11,"Day",2,"1","3",0.656,0.042
11,"Day",2,"2","3",0.65,0.039
11,"Day",2,"3","3",0.689,0.043
11,"Day",2,"4","3",0.587,0.04
11,"Day",2,"5","3",0.685,0.043
11,"Day",2,"6","3",0.651,0.04
11,"Day",2,"7","3",0.652,0.04
11,"Day",2,"8","3",0.662,0.041
11,"Day",2,"1","4",0.667,0.042
11,"Day",2,"2","4",0.676,0.039
11,"Day",2,"3","4",0.68,0.041
11,"Day",2,"4","4",0.692,0.042
11,"Day",2,"5","4",0.617,0.04
11,"Day",2,"6","4",0.598,0.038
11,"Day",2,"7","4",0.607,0.04
11,"Day",2,"8","4",0.662,0.04
11,"Day",2,"1","5",0.693,0.041
11,"Day",2,"2","5",0.657,0.039
